Patch,oracle,prediction,validation
ICSE18/patch1-Chart-13-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-13-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-13-Nopol2015-plausible.patch,1,0,FALSE
ICSE18/patch1-Chart-13-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-14-ACS.patch,0,0,TRUE
ICSE18/patch1-Chart-15-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-15-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-17-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-19-ACS.patch,0,0,TRUE
ICSE18/patch1-Chart-1-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-1-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-21-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-21-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-25-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-25-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-25-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-25-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-26-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-26-Nopol2015-plausible.patch,1,0,FALSE
ICSE18/patch1-Chart-26-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-3-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-5-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-5-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-5-Nopol2015.patch,0,1,FALSE
ICSE18/patch1-Chart-7-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Chart-9-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-24-ACS.patch,0,0,TRUE
ICSE18/patch1-Lang-35-ACS-plausible.patch,1,0,FALSE
ICSE18/patch1-Lang-39-ACS-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-39-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-44-Nopol2015.patch,0,0,TRUE
ICSE18/patch1-Lang-44-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-46-Nopol2015-plausible.patch,1,0,FALSE
