Patch,oracle,prediction,validation
patch1-Chart-1-CapGen.patch,0,0,TRUE
patch1-Chart-1-kPAR.patch,0,0,TRUE
patch2-Chart-11-CapGen.patch,0,0,TRUE
patch1-Chart-11-FixMiner.patch,0,0,TRUE
patch1-Chart-19-kPAR.patch,0,0,TRUE
patch1-Chart-8-CapGen.patch,0,0,TRUE
patch1-Chart-9-SequenceR.patch,0,1,FALSE
patch1-Closure-126-GenProg.patch,0,0,TRUE
patch1-Closure-126-jKali.patch,0,0,TRUE
patch1-Closure-40-Jaid.patch,0,0,TRUE
patch1-Closure-70-Jaid.patch,0,1,FALSE
patch1-Closure-73-AVATAR.patch,0,0,TRUE
patch1-Lang-38-Jaid.patch,0,0,TRUE
patch2-Lang-38-Jaid.patch,0,0,TRUE
patch4-Lang-38-Jaid.patch,0,0,TRUE
patch4-Lang-51-Jaid.patch,0,1,FALSE
patch6-Lang-51-Jaid.patch,0,1,FALSE
patch1-Lang-6-SketchFix.patch,0,0,TRUE
patch1-Math-5-CapGen.patch,0,0,TRUE
patch3-Math-5-Jaid.patch,0,0,TRUE
patch1-Math-53-Jaid.patch,0,1,FALSE
patch1-Math-53-jGenProg.patch,0,0,TRUE
patch1-Math-57-SimFix.patch,0,0,TRUE
patch1-Math-65-CapGen.patch,0,0,TRUE
patch1-Math-70-FixMiner.patch,0,0,TRUE
patch1-Math-70-SimFix.patch,0,0,TRUE
patch1-Math-80-CapGen.patch,0,0,TRUE
patch1-Math-82-ACS.patch,0,0,TRUE
patch1-Math-82-SketchFix.patch,0,0,TRUE
patch1-Math-85-SequenceR.patch,0,1,FALSE
patch1-Math-89-AVATAR.patch,0,0,TRUE
patch1-Math-89-TBar.patch,0,0,TRUE
patch1-Chart-1-GenProg-plausible.patch,1,1,TRUE
patch3-Chart-1-SequenceR.patch,1,1,TRUE
patch4-Chart-1-SequenceR.patch,1,1,TRUE
patch1-Chart-1-SketchFix-plausible.patch,1,1,TRUE
patch1-Chart-12-TBar-plausible.patch,1,1,TRUE
patch1-Chart-13-AVATAR-plausible.patch,1,1,TRUE
patch1-Chart-13-DynaMoth-plausible.patch,1,1,TRUE
patch1-Chart-13-TBar-plausible.patch,1,1,TRUE
patch1-Chart-18-SimFix-plausible.patch,1,1,TRUE
patch1-Chart-25-Kali-plausible.patch,1,1,TRUE
patch1-Chart-26-FixMiner-plausible.patch,1,1,TRUE
patch1-Chart-26-TBar-plausible.patch,1,1,TRUE
patch1-Chart-3-SimFix-plausible.patch,1,1,TRUE
patch1-Chart-5-Nopol-plausible.patch,1,1,TRUE
patch1-Chart-7-jGenProg-plausible.patch,1,1,TRUE
patch3-Chart-9-Jaid-plausible.patch,1,1,TRUE
patch1-Chart-9-Nopol-plausible.patch,1,1,TRUE
patch1-Closure-10-Arja-plausible.patch,1,1,TRUE
patch1-Closure-107-SimFix-plausible.patch,1,1,TRUE
patch1-Closure-108-SimFix-plausible.patch,1,1,TRUE
patch1-Closure-112-Arja-plausible.patch,1,1,TRUE
patch1-Closure-115-kPAR-plausible.patch,1,0,FALSE
patch1-Closure-115-TBar-plausible.patch,1,0,FALSE
patch1-Closure-116-Arja-plausible.patch,1,1,TRUE
patch1-Closure-119-Arja-plausible.patch,1,1,TRUE
patch1-Closure-12-TBar-plausible.patch,1,1,TRUE
patch1-Closure-120-Arja-plausible.patch,1,1,TRUE
patch1-Closure-120-RSRepair-plausible.patch,1,1,TRUE
patch1-Closure-121-Arja-plausible.patch,1,1,TRUE
patch1-Closure-124-Arja-plausible.patch,1,1,TRUE
patch1-Closure-124-GenProg-plausible.patch,1,1,TRUE
patch1-Closure-126-jMutRepair-plausible.patch,1,0,FALSE
patch1-Closure-126-kPAR-plausible.patch,1,1,TRUE
patch1-Closure-126-TBar-plausible.patch,1,1,TRUE
patch1-Closure-129-RSRepair-plausible.patch,1,1,TRUE
patch1-Closure-130-GenProg-plausible.patch,1,1,TRUE
patch5-Closure-18-SequenceR.patch,1,1,TRUE
patch1-Closure-19-SimFix.patch,1,1,TRUE
patch1-Closure-21-jGenProg-plausible.patch,1,1,TRUE
patch1-Closure-22-Kali-plausible.patch,1,1,TRUE
patch1-Closure-22-TBar-plausible.patch,1,1,TRUE
patch1-Closure-38-SimFix-plausible.patch,1,1,TRUE
